datetime,open,high,low,close
2024-07-31 07:00:00,1.08137,1.08177,1.08104,1.08146
2024-07-31 07:30:00,1.08145,1.08168,1.08114,1.08143
2024-07-31 08:00:00,1.081437,1.08178,1.0812,1.081583
2024-07-31 08:30:00,1.081573,1.08166,1.08121,1.081478
2024-07-31 09:00:00,1.081478,1.08177,1.08138,1.081723
2024-07-31 09:30:00,1.08171,1.08184,1.08144,1.08159
2024-07-31 10:00:00,1.081573,1.08182,1.08124,1.08177
2024-07-31 10:30:00,1.08177,1.08204,1.08172,1.08201
2024-07-31 11:00:00,1.08199,1.08241,1.08192,1.082013
2024-07-31 11:30:00,1.081997,1.08247,1.08162,1.0822
2024-07-31 12:00:00,1.08221,1.08268,1.08198,1.082577
2024-07-31 12:30:00,1.082568,1.08289,1.08251,1.082667
2024-07-31 13:00:00,1.082657,1.08302,1.08251,1.082958
2024-07-31 13:30:00,1.082943,1.08307,1.08214,1.082218
2024-07-31 14:00:00,1.082228,1.08265,1.0821,1.082463
2024-07-31 14:30:00,1.082453,1.08264,1.08226,1.082558
2024-07-31 15:00:00,1.082568,1.0827,1.08225,1.082358
2024-07-31 15:30:00,1.082377,1.08273,1.08197,1.082507
2024-07-31 16:00:00,1.082492,1.08254,1.08168,1.081997
2024-07-31 16:30:00,1.08204,1.08259,1.08152,1.082508
2024-07-31 17:00:00,1.08252,1.08256,1.08112,1.08204
2024-07-31 17:30:00,1.08204,1.08247,1.08138,1.081827
2024-07-31 18:00:00,1.08181,1.0819,1.08062,1.081643
2024-07-31 18:30:00,1.081608,1.0828,1.08104,1.082303
2024-07-31 19:00:00,1.082293,1.08273,1.08215,1.08264
2024-07-31 19:30:00,1.08263,1.08282,1.08242,1.082568
2024-07-31 20:00:00,1.082583,1.08338,1.08246,1.08312
2024-07-31 20:30:00,1.08312,1.08358,1.08292,1.083318
2024-07-31 21:00:00,1.083312,1.08392,1.08323,1.08359
2024-07-31 21:30:00,1.08362,1.08407,1.08267,1.08282
2024-07-31 22:00:00,1.08282,1.08448,1.08249,1.084202
2024-07-31 22:30:00,1.084158,1.08504,1.08364,1.08407
2024-07-31 23:00:00,1.08411,1.08468,1.08382,1.084577
2024-07-31 23:30:00,1.08461,1.08499,1.08397,1.084313
2024-08-01 00:00:00,1.084307,1.08474,1.08365,1.083973
2024-08-01 00:30:00,1.083982,1.08425,1.08168,1.08215
2024-08-01 01:00:00,1.08217,1.08258,1.08186,1.082053
2024-08-01 01:30:00,1.082067,1.08283,1.08199,1.082317
2024-08-01 02:00:00,1.082283,1.08236,1.08069,1.08079
2024-08-01 02:30:00,1.080783,1.08106,1.08039,1.080938
2024-08-01 03:00:00,1.080923,1.08121,1.08073,1.080928
2024-08-01 03:30:00,1.080917,1.08191,1.08054,1.081657
2024-08-01 04:00:00,1.08169,1.082,1.08015,1.081297
2024-08-01 04:30:00,1.081292,1.08298,1.08114,1.082618
2024-08-01 05:00:00,1.082647,1.08335,1.0822,1.082257
2024-08-01 05:30:00,1.082253,1.08319,1.08188,1.082263
2024-08-01 06:00:00,1.08227,1.08266,1.08166,1.08246
2024-08-01 06:30:00,1.082457,1.08285,1.08235,1.08257
2024-08-01 07:00:00,1.08265,1.08312,1.08211,1.082695
2024-08-01 07:30:00,1.082717,1.08291,1.08247,1.08274
2024-08-01 08:00:00,1.08274,1.08316,1.0825,1.082688
2024-08-01 08:30:00,1.082688,1.08274,1.08237,1.082442
2024-08-01 09:00:00,1.082463,1.0826,1.08226,1.082463
2024-08-01 09:30:00,1.082463,1.08257,1.08214,1.082397
2024-08-01 10:00:00,1.08238,1.08305,1.08231,1.08292
2024-08-01 10:30:00,1.08292,1.08296,1.08246,1.082793
2024-08-01 11:00:00,1.08276,1.0832,1.08266,1.083117
2024-08-01 11:30:00,1.083127,1.08342,1.08272,1.08278
2024-08-01 12:00:00,1.08276,1.08311,1.0824,1.082867
2024-08-01 12:30:00,1.082872,1.08311,1.08252,1.082642
2024-08-01 13:00:00,1.08262,1.08326,1.08253,1.08322
2024-08-01 13:30:00,1.0832,1.0835,1.08307,1.083287
2024-08-01 14:00:00,1.083287,1.08359,1.08312,1.083282
2024-08-01 14:30:00,1.083283,1.0834,1.0826,1.082698
2024-08-01 15:00:00,1.082702,1.08295,1.0825,1.0827
2024-08-01 15:30:00,1.08279,1.08301,1.08257,1.082737
2024-08-01 16:00:00,1.08271,1.08283,1.08169,1.081778
2024-08-01 16:30:00,1.081758,1.08183,1.08107,1.08162
2024-08-01 17:00:00,1.081657,1.08205,1.08069,1.08088
2024-08-01 17:30:00,1.08087,1.08098,1.07988,1.080113
2024-08-01 18:00:00,1.080113,1.08027,1.07808,1.078393
2024-08-01 18:30:00,1.078418,1.07912,1.07835,1.078442
2024-08-01 19:00:00,1.078428,1.07864,1.0778,1.078232
2024-08-01 19:30:00,1.078237,1.07865,1.07773,1.07782
2024-08-01 20:00:00,1.0778,1.07895,1.07776,1.07873
2024-08-01 20:30:00,1.078723,1.079,1.07802,1.078442
2024-08-01 21:00:00,1.078453,1.07963,1.07802,1.07912
2024-08-01 21:30:00,1.07911,1.07953,1.07855,1.07919
2024-08-01 22:00:00,1.0792,1.07959,1.07865,1.079128
2024-08-01 22:30:00,1.07912,1.08088,1.07895,1.07966
2024-08-01 23:00:00,1.07964,1.07969,1.07868,1.0792
2024-08-01 23:30:00,1.07919,1.08065,1.07913,1.0804
2024-08-02 00:00:00,1.08063,1.08195,1.07956,1.080062
2024-08-02 00:30:00,1.080088,1.08049,1.07869,1.07922
2024-08-02 01:00:00,1.07923,1.0795,1.07833,1.078502
2024-08-02 01:30:00,1.078523,1.07932,1.07838,1.07887
2024-08-02 02:00:00,1.07888,1.07971,1.07876,1.0791
2024-08-02 02:30:00,1.07912,1.07915,1.07799,1.078638
2024-08-02 03:00:00,1.078647,1.0791,1.07846,1.07892
