datetime,open,high,low,close
2024-11-29 23:40:00,1.05542,1.05562,1.05526,1.0553
2024-11-29 23:45:00,1.05526,1.05536,1.05479,1.05502
2024-11-29 23:50:00,1.05503,1.05547,1.05497,1.05534
2024-11-29 23:55:00,1.0553,1.0566,1.05516,1.056477
2024-11-30 00:00:00,1.056453,1.05688,1.05619,1.056283
2024-11-30 00:05:00,1.056297,1.05649,1.05602,1.056177
2024-11-30 00:10:00,1.056162,1.05632,1.05596,1.05611
2024-11-30 00:15:00,1.05612,1.05648,1.05593,1.0564
2024-11-30 00:20:00,1.05646,1.05687,1.0564,1.056588
2024-11-30 00:25:00,1.05663,1.05669,1.05619,1.056258
2024-11-30 00:30:00,1.05624,1.05652,1.05614,1.056383
2024-11-30 00:35:00,1.05636,1.05648,1.05588,1.05593
2024-11-30 00:40:00,1.05594,1.05597,1.05552,1.05557
2024-11-30 00:45:00,1.05557,1.05593,1.05554,1.0558
2024-11-30 00:50:00,1.05574,1.05581,1.05552,1.05573
2024-11-30 00:55:00,1.05571,1.05635,1.0556,1.05626
2024-11-30 01:00:00,1.056295,1.0565,1.05593,1.056058
2024-11-30 01:05:00,1.05607,1.05628,1.05546,1.055617
2024-11-30 01:10:00,1.055592,1.05563,1.05466,1.054768
2024-11-30 01:15:00,1.054778,1.055,1.05451,1.054577
2024-11-30 01:20:00,1.05461,1.05512,1.0545,1.054893
2024-11-30 01:25:00,1.054833,1.05505,1.05456,1.05497
2024-11-30 01:30:00,1.05499,1.05549,1.05484,1.05531
2024-11-30 01:35:00,1.05532,1.05545,1.05497,1.05518
2024-11-30 01:40:00,1.05517,1.05548,1.05499,1.055338
2024-11-30 01:45:00,1.05543,1.05552,1.05478,1.054947
2024-11-30 01:50:00,1.054828,1.05518,1.05477,1.05501
2024-11-30 01:55:00,1.055035,1.05561,1.05489,1.05541
2024-11-30 02:00:00,1.05532,1.05535,1.05479,1.05492
2024-11-30 02:05:00,1.05493,1.05601,1.05487,1.055957
2024-11-30 02:10:00,1.055972,1.05645,1.05592,1.056177
2024-11-30 02:15:00,1.05614,1.05628,1.05562,1.05614
2024-11-30 02:20:00,1.056163,1.05628,1.05567,1.05578
2024-11-30 02:25:00,1.055783,1.05583,1.05469,1.054798
2024-11-30 02:30:00,1.05476,1.05583,1.05456,1.055778
2024-11-30 02:35:00,1.055823,1.05593,1.05557,1.05574
2024-11-30 02:40:00,1.0558,1.05647,1.05538,1.056272
2024-11-30 02:45:00,1.056165,1.05643,1.05545,1.055697
2024-11-30 02:50:00,1.05567,1.05633,1.0553,1.056002
2024-11-30 02:55:00,1.056027,1.05681,1.05596,1.05614
2024-11-30 03:00:00,1.056142,1.05636,1.05516,1.055483
2024-11-30 03:05:00,1.055468,1.05581,1.05473,1.054998
2024-11-30 03:10:00,1.054883,1.05554,1.05479,1.05541
2024-11-30 03:15:00,1.05533,1.0556,1.05506,1.055518
2024-11-30 03:20:00,1.055493,1.05568,1.05502,1.05519
2024-11-30 03:25:00,1.055092,1.05559,1.05499,1.055487
2024-11-30 03:30:00,1.055473,1.05578,1.05449,1.055023
2024-11-30 03:35:00,1.055017,1.05522,1.05458,1.054693
2024-11-30 03:40:00,1.054672,1.05507,1.05417,1.054232
2024-11-30 03:45:00,1.054258,1.05476,1.05412,1.054673
2024-11-30 03:50:00,1.054673,1.05478,1.05412,1.054383
2024-11-30 03:55:00,1.054383,1.05486,1.0543,1.054663
2024-11-30 04:00:00,1.054647,1.05525,1.05458,1.055073
2024-11-30 04:05:00,1.055087,1.05522,1.05472,1.054972
2024-11-30 04:10:00,1.055017,1.05508,1.05436,1.054412
2024-11-30 04:15:00,1.054407,1.05472,1.05432,1.054558
2024-11-30 04:20:00,1.054558,1.05501,1.0545,1.054778
2024-11-30 04:25:00,1.054768,1.05483,1.05448,1.054628
2024-11-30 04:30:00,1.054637,1.05488,1.05448,1.054688
2024-11-30 04:35:00,1.054677,1.05502,1.05458,1.054968
2024-11-30 04:40:00,1.054963,1.05556,1.05491,1.055508
2024-11-30 04:45:00,1.055492,1.05602,1.05544,1.055848
2024-11-30 04:50:00,1.055852,1.05659,1.05572,1.056437
2024-11-30 04:55:00,1.056412,1.05683,1.05621,1.056738
2024-11-30 05:00:00,1.056763,1.05786,1.05672,1.057688
2024-11-30 05:05:00,1.057723,1.05778,1.05715,1.057542
2024-11-30 05:10:00,1.057517,1.05757,1.0569,1.057073
2024-11-30 05:15:00,1.057117,1.0573,1.05707,1.057233
2024-11-30 05:20:00,1.057243,1.05734,1.05691,1.057082
2024-11-30 05:25:00,1.057082,1.0573,1.05701,1.057243
2024-11-30 05:30:00,1.057253,1.05766,1.05721,1.057387
2024-11-30 05:35:00,1.057357,1.0574,1.05708,1.057183
2024-11-30 05:40:00,1.057193,1.05731,1.05702,1.057238
2024-11-30 05:45:00,1.057222,1.05732,1.05715,1.057222
2024-11-30 05:50:00,1.057222,1.0573,1.05716,1.057247
2024-11-30 05:55:00,1.057247,1.05758,1.05719,1.057527
2024-11-30 06:00:00,1.057538,1.05761,1.05726,1.057352
2024-11-30 06:05:00,1.057352,1.0574,1.05721,1.057262
2024-11-30 06:10:00,1.057262,1.05744,1.05719,1.057377
2024-11-30 06:15:00,1.057333,1.05765,1.05725,1.057592
2024-11-30 06:20:00,1.057587,1.05767,1.05745,1.057507
2024-11-30 06:25:00,1.057517,1.05788,1.05746,1.057767
2024-11-30 06:30:00,1.057762,1.05786,1.05762,1.05779
2024-11-30 06:35:00,1.057797,1.05803,1.05774,1.057922
2024-11-30 06:40:00,1.057923,1.058,1.05773,1.057867
2024-11-30 06:45:00,1.057867,1.05795,1.05776,1.057897
2024-11-30 06:50:00,1.057913,1.05805,1.0578,1.057937
2024-11-30 06:55:00,1.05793,1.05803,1.05783,1.057972
2024-11-30 07:00:00,1.057967,1.05804,1.05773,1.05787
2024-11-30 07:05:00,1.057888,1.05812,1.05771,1.05797
2024-11-30 07:10:00,1.057992,1.05805,1.05791,1.05797
2024-11-30 07:15:00,1.057978,1.05802,1.05788,1.057958
2024-11-30 07:20:00,1.057958,1.05818,1.0579,1.058133
2024-11-30 07:25:00,1.058133,1.05826,1.05808,1.05819
2024-11-30 07:30:00,1.0582,1.0585,1.05813,1.058432
2024-11-30 07:35:00,1.058428,1.0585,1.05835,1.05844
2024-11-30 07:40:00,1.058432,1.0585,1.05838,1.058438
2024-11-30 07:45:00,1.058438,1.05848,1.05809,1.05828
2024-11-30 07:50:00,1.058283,1.05841,1.05813,1.05827
2024-11-30 07:55:00,1.05825,1.05845,1.05796,1.058267
2024-11-30 08:00:00,1.058253,1.05842,1.05789,1.058032
2024-11-30 08:05:00,1.058032,1.05817,1.05797,1.058048
2024-11-30 08:10:00,1.058037,1.05821,1.05767,1.05794
2024-11-30 08:15:00,1.057952,1.05814,1.05767,1.057927
2024-11-30 08:20:00,1.057937,1.05822,1.05762,1.057888
2024-11-30 08:25:00,1.057888,1.05824,1.05756,1.057967
2024-11-30 08:30:00,1.057962,1.05802,1.05781,1.057918
2024-11-30 08:35:00,1.057908,1.05832,1.05759,1.05801
2024-11-30 08:40:00,1.05799,1.05833,1.05762,1.05799
2024-11-30 08:45:00,1.05804,1.05848,1.05764,1.05796
2024-11-30 08:50:00,1.0579,1.0583,1.05729,1.05782
2024-11-30 08:55:00,1.057815,1.05833,1.0574,1.05777
2024-12-02 09:00:00,1.05754,1.05796,1.05667,1.05707
2024-12-02 09:05:00,1.05716,1.05766,1.05661,1.05706
2024-12-02 09:10:00,1.05709,1.05757,1.05661,1.05706
2024-12-02 09:15:00,1.05706,1.05754,1.0566,1.05685
2024-12-02 09:20:00,1.05682,1.05722,1.05659,1.05692
2024-12-02 09:25:00,1.05691,1.05738,1.05643,1.05687
2024-12-02 09:30:00,1.05688,1.05745,1.05645,1.05709
